app,task,time,api_usage
applauncher_final,search 'Clock' app and open it,2024-09-12 17:52:56,"{'gpt-4o': {'prompt_tokens': 36865, 'completion_tokens': 1584, 'total_tokens': 38449}, 'gpt-4-turbo': {'prompt_tokens': 1603, 'completion_tokens': 282, 'total_tokens': 1885}}"
applauncher_final,Sort apps by title in descending order,2024-09-12 17:53:18,"{'gpt-4o': {'prompt_tokens': 42527, 'completion_tokens': 1839, 'total_tokens': 44366}, 'gpt-4-turbo': {'prompt_tokens': 1603, 'completion_tokens': 282, 'total_tokens': 1885}}"
applauncher_final,search 'Clock' app and open it,2024-09-12 17:58:10,"{'gpt-4o': {'prompt_tokens': 96690, 'completion_tokens': 3890, 'total_tokens': 100580}, 'gpt-4-turbo': {'prompt_tokens': 2693, 'completion_tokens': 293, 'total_tokens': 2986}}"
applauncher_final,Sort apps by title in descending order,2024-09-12 17:59:38,"{'gpt-4o': {'prompt_tokens': 130241, 'completion_tokens': 5446, 'total_tokens': 135687}, 'gpt-4-turbo': {'prompt_tokens': 4201, 'completion_tokens': 565, 'total_tokens': 4766}}"
applauncher_final,Change column count to 3,2024-09-12 18:00:39,"{'gpt-4o': {'prompt_tokens': 151521, 'completion_tokens': 6373, 'total_tokens': 157894}, 'gpt-4-turbo': {'prompt_tokens': 5669, 'completion_tokens': 811, 'total_tokens': 6480}}"
applauncher_final,Change theme color to light,2024-09-12 18:02:29,"{'gpt-4o': {'prompt_tokens': 188499, 'completion_tokens': 8174, 'total_tokens': 196673}, 'gpt-4-turbo': {'prompt_tokens': 7197, 'completion_tokens': 1085, 'total_tokens': 8282}}"
applauncher_final,Disable closing this app when launching a different one,2024-09-12 18:04:28,"{'gpt-4o': {'prompt_tokens': 227488, 'completion_tokens': 10121, 'total_tokens': 237609}, 'gpt-4-turbo': {'prompt_tokens': 8287, 'completion_tokens': 1268, 'total_tokens': 9555}}"
calendar_final,change the snooze time to 30 min,2024-09-10 18:04:25,"{'gpt-4o': {'prompt_tokens': 45139, 'completion_tokens': 1651, 'total_tokens': 46790}, 'gpt-4-turbo': {'prompt_tokens': 2374, 'completion_tokens': 347, 'total_tokens': 2721}}"
calendar_final,Add the holidays of United States to the calendar,2024-09-10 18:10:42,"{'gpt-4o': {'prompt_tokens': 208477, 'completion_tokens': 7782, 'total_tokens': 216259}, 'gpt-4-turbo': {'prompt_tokens': 6018, 'completion_tokens': 692, 'total_tokens': 6710}}"
calendar_final,change the event reminder sound of Calendar app to adara,2024-09-10 18:57:23,"{'gpt-4o': {'prompt_tokens': 1010285, 'completion_tokens': 39070, 'total_tokens': 1049355}, 'gpt-4-turbo': {'prompt_tokens': 27771, 'completion_tokens': 2979, 'total_tokens': 30750}}"
calendar_final,change the event type 'regular event' to 'deadlines',2024-09-10 18:59:57,"{'gpt-4o': {'prompt_tokens': 1065599, 'completion_tokens': 41837, 'total_tokens': 1107436}, 'gpt-4-turbo': {'prompt_tokens': 29821, 'completion_tokens': 3295, 'total_tokens': 33116}}"
calendar_final,export the events to test.ics under DCIM folder,2024-09-10 19:00:31,"{'gpt-4o': {'prompt_tokens': 1078398, 'completion_tokens': 42173, 'total_tokens': 1120571}, 'gpt-4-turbo': {'prompt_tokens': 29821, 'completion_tokens': 3295, 'total_tokens': 33116}}"
calendar_final,export the events to test.ics under DCIM folder,2024-09-10 19:09:39,"{'gpt-4o': {'prompt_tokens': 177884, 'completion_tokens': 7251, 'total_tokens': 185135}, 'gpt-4-turbo': {'prompt_tokens': 3818, 'completion_tokens': 368, 'total_tokens': 4186}}"
calendar_final,Use 24 hour formats in the Calendar app,2024-09-10 19:10:44,"{'gpt-4o': {'prompt_tokens': 207048, 'completion_tokens': 8002, 'total_tokens': 215050}, 'gpt-4-turbo': {'prompt_tokens': 5850, 'completion_tokens': 642, 'total_tokens': 6492}}"
