task,guardian,droidagent,autodroid,visidroid,visidroid_no_mem,visidroid_no_vision
applauncher_11a062dc6dffce8acf85d276048014f2d7e3789ce92578de394b7d7b52ec1df0,0,0,1,1,1,1
applauncher_20112d3f45c57515f523084bb615fffabe2f463d2f300465d9dac7b9b155d8ee,0,0,1,1,1,1
applauncher_335b0baf56e14f8384b667abae952611e4c2837d022e396408f4cd54df95e672,0,0,1,1,1,1
applauncher_33bf89881ca2824783b69b9dce9e15c2d6f31d0266e00651e7d03d54dd07d385,0,1,1,1,1,1
applauncher_9d9d67ba3b1f3437eca954256ed689804dce365028f9c994f08866dd946fb371,0,1,0,1,1,1
calendar_08cd9f2b2ff579e2b0f003f1104530ed4d365175b067c1a96addc3b5984717db,0,0,0,0,0,0
calendar_09b90ed4319d2ffd24dd52050c99b3c6b3b13e187306ba5ec426d4d3e1d063c6,0,1,1,1,0,1
calendar_0a5471c24b889666632bb43f683fc08ce43a2fa049b1ac47bb1b8ef23802a607,0,1,1,1,1,1
calendar_19c51276c1302fc90f7dcb004bb49dab4cb435882b03436899252d22baead8ef,1,1,1,1,0,1
calendar_201ab5fb0dbaa5da9673ce3b1fa4479ef7a17380437cbc87d4f4490f48e406fb,0,1,1,0,1,0
calendar_295bcdc418b1cc7f9f6359fcfda6096a0a80abcd0ef9f3e98990ddc859619e8c,0,0,1,1,1,1
calendar_346ab5c1aeef9922d6c572db14b5e0beaaa9e904f82c72aa0b561a8e6847cf89,0,0,1,1,0,0
calendar_507cc6d19f89ee4a7733f0d2d5407dc52eefd470f265582e76878dab4ce6e7e6,0,0,1,0,0,0
calendar_77b4402acf90d06628adf206c1d10e279ca5421920e7f2cd6a6db63e76f56d1c,0,0,1,1,0,0
calendar_913bea2ab07f13d5de0f335f3b4e6737ccf343f5768df50734a99a7f8c4c3f1b,0,0,1,0,0,0
calendar_a51a8fec104595cec8cbcf32b04a7ffb4776b88b4da9808a77e3039f9e7aa6d1,0,0,1,1,1,1
calendar_accffc404ccc6f395130ddc325f4ca34b7b7da503e55267f249b4a4fe00cde1e,0,0,1,0,1,1
calendar_c47d189d4fedb22edea24e3cffc93ea0770372573285c05df8b1c8ab69f0b928,0,0,1,1,0,0
calendar_d607ebfb905ff62cbda8cf94add2b1f6a0ecc9364a1d1465ebe35d6f9d11d4e3,0,0,1,1,0,1
calendar_d91f8aa367c47945a3d9344018a5a67330e86f3f8045cdfceb57dd9898a638df,0,0,1,1,1,1
calendar_e8b601c47a045393c677aeddaee08ed7e638c44377571db157be7628db8d955b,0,1,1,1,0,0
calendar_eef0462cd417a5f937ff9ec6aa34f1499a811574dd64ef9df7dbac3899f9e57a,0,0,1,1,1,1
camera_01e2f71918a4dd3967a0ae182eb8cca6e7cd2036df595c471d864075f1f6e99e,0,1,1,1,1,1
camera_021fff0acccbe1c0dfafbd6bd253eb6ec258063435d37c3698029446199aed32,0,0,1,1,1,1
camera_0d9c616066f560809bc32ed80dffecc58a6d80ad360142aff2344f6d820d6b33,0,0,1,1,1,1
camera_2d4caf6bbfdc3d4bb5cab7c76b7463417bfd3cc125ad5dbeafa4b614fa73c266,0,0,1,0,0,0
camera_3d888c7712cfaa77182531a889141279aaede4aedf48823c3b3717eff08e91f8,0,0,0,0,0,0
camera_53645938bb4cbd3a8b813cb94755a9cb9f03435201e2434f2549794debfc6043,0,0,1,1,0,0
camera_5ba4dd4cd25c4a44cbe5072e5e656ca0483d95facd7b93b455d5395dd460b887,0,0,1,1,0,0
camera_63f463932b288fb1147e838ef6ba757e6f7b0460365988c6d555b846e4e6ae13,0,0,1,1,0,0
camera_662705099f4ea6e5024a1b00b92256e07cba74c876f8ee1a1d35e3412f191c88,0,0,1,0,0,0
camera_ad5db2054d44589eb3b7147401f2ae1c0798913348509e2d807f14b01f8e54be,0,0,1,1,0,0
camera_bb56b10db2d289f022cb73cbcf16c96a8387c5484d1596b4d26438dae515e336,0,0,0,0,0,0
camera_c2b4688591cf1f1d7c0406d59dcfd8bb4d1886c54f2bcd9f2e064d0a7c966e0b,0,0,1,1,0,0
camera_c61489b89b1946269ba75db899fa83619285bdf95ef0c0f2ef368ecb957e0115,0,0,1,0,0,0
camera_d7bde5acb793b78e5728a5ae56c6471d1a387e466b08eb6ba4724dd3067e926e,0,0,1,1,0,0
camera_dd5256dd5a2bcd685d3f70436e64d9c4d8490efe8c3566bd0538227554b097bf,0,0,0,1,1,0
clock_06c335c7f4253938f1e393331717214385a3a961bed16841b515c575dd190818,0,0,0,1,1,0
clock_668d431af05d31bed0108a7ea78ea794f656fe312b49a00a4f971956dbef116a,0,1,1,0,1,1
clock_67c41fd75ea7b8ea660a75895f3235febc71e2e4055223b024c9ad85f5646eab,0,0,1,1,1,1
clock_85714a746e19e3891e08dbeba826abb0e3a3c70d95d3eeccffdc80311c43b068,0,0,1,1,1,1
clock_92c4b3d295c3654b900541bdbbd6b096d9943a117e7c9abe8ad5d8c0e0d09578,0,1,1,1,1,0
clock_9bcdd076f5562c7d4200011ee038d21f4b1fdaab18fdcb11618cd7e505ea2fdb,0,0,1,1,1,1
clock_9e3b51da42a981c5ace6b756a9abf81bcc8c9b66ecdab3ce2498aafe76804bd0,0,1,1,1,1,1
clock_a516dfb18dd4a274cc98e0e0496cecc8cfbdd66af186cc64d37b947585e3faff,0,1,1,1,0,1
clock_b07c4ee0dd001c65590eee43e80fc2f27d8e9989a3df6c88383fab503a5d789e,0,1,1,1,1,1
clock_d32b7330ba63a76650a6021ba77bd192ebf8235a3930fe035fd08246ea847fa5,0,0,1,1,1,1
clock_e20ae11f388ec33d188ebc900d886b75baa997d9bcf51c9d9de57bf652e22c34,0,0,1,1,1,1
clock_ffb6293f8b9360e162200efa7e35a734591d6562d936aaa6c3cf02e9d885d1c9,0,1,1,1,1,1
contacts_02fede669084d4e1fb1dbfeb81821f96b3c7b8377e312cf5eaa0d06d7eac2636,0,0,1,1,0,1
contacts_11a062dc6dffce8acf85d276048014f2d7e3789ce92578de394b7d7b52ec1df0,0,0,1,1,0,1
contacts_1259c4b6781c4bcfbfb14cbc350042509a291ed19c22d774063962aa26a13b99,0,1,1,1,0,1
contacts_18cde5980976b09b102b72f99557b7097af823933ead6ee68767ff2c6d9dfcef,0,1,1,1,0,1
contacts_3f70d4da52a3c7614d7137f8fee9c5294ff4d95ed58d4bce647de12d2872921a,0,0,0,0,0,0
contacts_4ef98de0b3e59e9e3f5562b8be9646df5cbf517ebd2fbcd6c3c227b8032fa36d,0,0,1,1,1,0
contacts_749b0709e0f7bcf9c9ba81dccd6c48720055053882d5d99893f19fe669df7516,0,0,1,1,0,1
contacts_96e0d89b6c91e87b3b716b3b3f9127fc16be2fc6e2fc64a648cb619c0ccc9e06,0,0,0,0,0,0
contacts_aa2e9c926fc50918969448be5c233bb21a456a4865445ca3bced90cf4789fbee,0,0,0,1,0,1
contacts_c66b84782c2efad98e00a69173b7def1fe72688df3ebc51b054f659eb716bf1c,0,1,1,1,1,0
contacts_c675f2e6b45292eb1e6e382bbfcc3cd0c7a06164012ec912280ecb965bb87da7,0,0,1,1,1,1
contacts_cde155cc166f5a0f90ec266cb307b2b6a352c7e49689409c6cb400ff5a355e47,0,0,0,0,0,0
contacts_dcf5d39c1473f55c74c92c11092dd995b2a68d23c9c0340047bbcecbb97e8fd6,0,0,1,1,1,0
contacts_e34e28f173cbff72e143303dd7249862009b0653f5be9958fd48b0a03e889140,0,0,1,1,0,1
dialer_0069629818a51630af9562a1a8e645f5ef99ccd093fa9aee5269ffb317edb34f,0,0,0,1,1,1
dialer_068eae978f45a3ab907c1220f0dbf113b89d3023fea067a4391074d27d701ce3,0,0,1,1,1,0
dialer_0f81096de2e16d025f271c68ef8748f032784d2289de40284a8230ff84e953f5,0,0,1,1,1,0
dialer_19d64461e3b96a244ef7991aaf4d65f40930e7ceb1cc346e1aa812e1a970e373,0,0,1,0,1,1
dialer_2813e21d32a5a7d3eb0eacc7ead08488c1db495d2625c77b8b574020bcdce272,0,1,0,1,1,1
dialer_401db5d08189744fa4a86652100f9699225cbe1bf882fe3a81452a10fd9aacbf,0,0,1,1,1,1
dialer_4dce9937cbc16ad39dbe6e2a7e37f13538a73f975ce81764edb5553c147a155e,0,0,1,1,1,1
dialer_527fae6860e507c2929a14982d10daeda47c779024c5db27e1aa8e7709eed6ab,0,0,0,0,1,1
dialer_55849cb5781bc1e9bd3a106785ac198c55116fb51ccc71203f8d5a2579c76437,0,0,1,1,1,1
dialer_61dd43c18f96d905f5e3168f306383d5786b80b588094eaa1875f2facae65f9f,0,0,1,1,0,0
dialer_b5ff699136aea2157f4eaf8b7cd69731ab72fec17cd94805fb7ca6c9e59a816a,0,0,1,1,1,1
dialer_b7eb7481a4aa9f544515409d0872feeef58d25ae925dffb691f72a99876643db,0,1,1,1,1,0
dialer_b956db38741ecfe00aaf89273a421d0ecabe6ecd40b215618bfe8ae7ccb30259,0,1,1,1,1,1
dialer_e7200d11f657a851cc5fa66db8b77ebe224fd3659dab173ce7106feb0d22e65d,0,0,1,0,0,0
dialer_fd2ef21a12c84b1a892de768c1fed236a0f97a6d3e77799921175add1b6c3f65,0,0,1,1,1,1
filemanager_03a17afb729cc29687a6154964c40d4101aafd121510fd0dc8fc7dc6c3777f7e,0,0,1,1,0,1
filemanager_0a43b803ab70c7c324cf211286424b63d841b3ed839a5b6f26c2610db5daf183,0,1,0,0,0,0
filemanager_454c16a454d3d91d64a501e479929b9612e958ebf93fb893e28aff28ecb653f0,0,0,1,1,1,1
filemanager_4adc0926e94d7b28fe278cd20c77f60fdea3dd993b6b70921f885e08c6a78e83,0,0,0,1,0,0
filemanager_4e8aa6220f79c4c653b1f897a707341049f3e852059a1693409f85387a13c15e,0,1,1,1,0,1
filemanager_58d3cd387bfcc544ef6fd9410a902bfae934d4d71a06d88f849852c62aad7b0c,0,0,1,1,0,0
filemanager_6c8d6458ba3a7789eb26b38baed6c8d782a6319c544595edffa10c702e9c1a12,0,0,1,1,0,0
filemanager_7168a95a489416e511571b61a630eeb2f9683193fc58807d4a8c01f57687aa5c,0,0,1,1,1,1
filemanager_83d2f13d9f78b91746ca669d34e8b677c350b632a9cd58c41434bddfea4852ec,0,0,1,1,0,1
filemanager_9096591991e825ec3963ac212bbbc322ed20e417505aee999ab8da2208948127,0,0,1,1,1,1
filemanager_a52690f6566116b26a2f966f6db2c9e2d266f87211e2717d693704cd7788e453,0,0,1,1,1,1
filemanager_cae5dec04cc02e388f1b89fcee98e9fc255a98d9b57e4a993448a18996d15654,0,0,1,0,0,0
filemanager_da19d4b41f3548b52cbcf924bb1991d13d672431342441ad069989bab58f50c3,0,0,1,1,1,1
filemanager_e269c90eebf3a34d2f66a2b3ca4c6bed9ad70e43cf13bc3412b564eba75e0fb0,0,0,1,1,0,1
filemanager_e93e8c44c375b63c0f59417341c8a7f9d8049584aa2b20a73b11cee269654c88,0,0,0,1,0,0
filemanager_fccdc9d115baa0b9962c250df6098a308f6928ba55f7270d18f616ae4370c240,0,1,1,1,0,1
gallery_3d41c71bcaab7a9cc823e3c9eefdfd3960fe03b8cb9eabe52bd8b80d072ac887,0,0,1,1,0,1
gallery_4b77ebdec67c3f6c122f63fd62ccc7e75b27e1fa129dcd8a013fcbec687da576,0,0,1,1,1,1
gallery_68284a77e92cba0513550246a3c98f0a4058eb4b85360ae9b3f8b9d3cdec8603,0,0,1,1,0,1
gallery_879c808b98e61122cb5148d1184ffc6dd8b5c98ce2ac84b04a0fa72705151b5f,0,1,1,1,0,1
gallery_ac9f53d695e51749c3a882095abd967bae535cc99508ab899c382842c057fb14,0,0,0,1,1,1
gallery_ad1981d19d857beca6e08b9e8f8cf156c7677a32fb44b8fd0dcc0dfe37b7c1b7,0,0,0,1,0,0
gallery_b59842aa1963b00cc1be82cd8ac17121c62068737e2eafda005f357e7005289c,0,0,0,1,0,1
gallery_c59816c49386d6c71afc9a24e2a49cea07ae4775d366637d8a79dcf7dfc4be18,0,0,1,1,1,1
gallery_e13a913558e1841ee0580350128b1459b062c76d9aace09fbf550215850ca283,0,0,1,1,1,1
messenger_0f81096de2e16d025f271c68ef8748f032784d2289de40284a8230ff84e953f5,0,0,0,1,0,0
messenger_243beccae84c125f33c5fec51cf4a21eb60eaf5c244e8c8b05097d27f1434579,0,0,1,1,0,1
messenger_5f8ac37034e45b8fba5ff89adb0da2124375e2af0a86b87a6ed4e3d36e6daa65,0,0,1,1,1,1
messenger_61d3016e2a1d7836060c1a94cfe6855a28f928465c2fa74c0a03a81bf9a902fa,0,1,1,1,1,1
messenger_61dd43c18f96d905f5e3168f306383d5786b80b588094eaa1875f2facae65f9f,0,0,1,1,0,0
messenger_62c14ac2217b0e4163ef3df119f940838addccc1fd5a77f6f7c223a6659e826e,0,0,1,1,1,1
messenger_640d6e9818df79f0cd3be30035b9b14d960fcdddf6a0e337e645157f056f01b9,0,0,1,0,0,0
messenger_6ca764fb5413b5cfc97e6a8f60b1d5f0a778160e9985517f64f0ee842dbaa5c2,1,1,1,0,1,0
messenger_6e961fb0b09e1f064e3d80231a6c77844b2b0f5e5e0dd20295456b4851409072,0,0,1,1,1,1
messenger_77efb222a7b1bf00ee16b7b841d1ab95952a91ae2a316d6a76301526022f9e43,0,0,1,1,1,1
messenger_7ed78cd7c6e0775da7243ebebc37860637dc9dc3a3678c2878b3f14138708037,0,0,1,0,0,0
messenger_8f7e8801b02a387b1e7bd88d3e75d4103131517817a6234b5baba66bc53b5646,0,0,1,1,1,1
messenger_b7eb7481a4aa9f544515409d0872feeef58d25ae925dffb691f72a99876643db,0,1,0,1,0,0
messenger_bf34f8d6c4f751fbbdcc941167c88c103f7982933be2a3913b796f5a5c01e552,0,1,1,1,1,1
messenger_e770176258d8c4cfc7f47886eb3104a7a203f40c2a7a846aa5717f354438c69d,0,0,1,1,1,1
musicplayer_232f72dc95e9f33cbb7c681fe465643a68b1196e4d4dfc0b84261447723a0313,0,0,1,1,1,0
musicplayer_4373e267cc50985b653264e41e0dcf7b2d2d377a42187889043f6176ca379901,0,0,1,1,0,0
musicplayer_697e357f2456163efe9e4acfd6d6334bb527d636275842f404f504d147f81b1f,0,1,1,1,0,1
musicplayer_76138d039d0042ac2789183169d99272b01c0e0dbb7cfb137d6d693c58521430,0,1,0,1,1,0
musicplayer_9915f9d815a63b6d62c9a5bf76838efee4a30067d20e14553c89d22533c3d18b,0,0,1,1,1,1
musicplayer_b523eec53954918adec8d1e63cbaad7f3852641fb345269b3fb635c2769787ac,0,1,0,1,1,1
musicplayer_c645982ae198781922109decb29d494c1a7b378d31829ed1edfda1d830502738,0,0,0,1,1,1
musicplayer_ef11f3bc3f12ccae8b54203dd29c0f4bc5ad85facf2dcb9eb2efe39b6385b3ba,0,1,0,1,1,0
musicplayer_fe617a743bb3c80e3a57688253bbe289bdf33316dd28921f8235b5153fbb2a16,0,0,0,0,1,1
notes_16551b1c2f19ece35781bdd7ce5d8ec38a88a6d6877a9b4c4d3e8eaf4e71998d,0,0,0,1,1,1
notes_189f0aaa626663d379c7b24d34a87fabbc85ef9ef8930d2d1716a7c305d2df08,0,0,0,1,1,1
notes_3e2b91721388040cb32e6f380ee957ec80f2b0586398970a2b7bec559374a5fe,0,0,1,1,1,1
notes_412d41054919df21554d8ca270c18495499078c26698b40005adb6e0e9c3cc15,0,0,0,1,1,0
notes_60da3adc2c7862f9254c721d6f9fecef1bf49b15556ea1170ce601f3de3fe994,0,1,1,1,1,1
notes_63b3c162f1c6197c7038e13b4caabfc833374bffa75df6e79c9e141defba53bc,0,0,0,1,1,0
notes_674fff46ea8e3c2e438c34f49fdf62316519182ca352d08c7a1f2032002903c3,0,0,0,1,0,0
notes_8447e4449d7c16fbbd50b9d8e1a882a24175c59c79c6af41e0b730d18421b175,0,0,1,1,1,1
